name,ttm,12/31/22,12/31/21,12/31/20,12/31/19,12/31/18,12/31/17,12/31/16,12/31/15,12/31/14,12/31/13,12/31/12,12/31/11,12/31/10,12/31/09,12/31/08,12/31/07,12/31/06,12/31/05,12/31/04,12/31/03,12/31/02,12/31/01,12/31/00,12/31/99,12/31/98,12/31/97,12/31/96
"	ResearchAndDevelopment",,,,42740000000.00,35931000000.00,28837000000.00,22620000000.00,16085000000.00,12540000000.00,9275000000.00,6565000000.00,4564000000.00,2909000000.00,1734000000.00,1240000000.00,1033000000.00,818000000.00,662000000.00,451000000.00,251195000.00,207809000.00,215617000.00,241165000.00,269326000.00,159722000.00,46807000.00,12500000.00,
"	DepreciationAmortizationDepletionIncomeStatement",,,,,,,,,,,,,,,,,,,,,2752000.00,5478000.00,181033000.00,321772000.00,214694000.00,,4700000.00,300000.00
"		DepreciationAndAmortizationInIncomeStatement",,,,,,,,,,,,,,,,,,,,,2752000.00,5478000.00,181033000.00,321772000.00,214694000.00,,4700000.00,300000.00
"			Amortization",,,,,,,,,,,,,,,,,,,,,2752000.00,5478000.00,181033000.00,321772000.00,214694000.00,,,
"				AmortizationOfIntangiblesIncomeStatement",,,,,,,,,,,,,,,,,,,,,2752000.00,5478000.00,181033000.00,321772000.00,214694000.00,,,
"	OtherOperatingExpenses",1263000000.00,1263000000.00,62000000.00,-75000000.00,201000000.00,296000000.00,214000000.00,167000000.00,171000000.00,133000000.00,114000000.00,159000000.00,154000000.00,106000000.00,102000000.00,-24000000.00,9000000.00,10000000.00,47000000.00,-7964000.00,,,,200311000.00,,50172000.00,,
OperatingIncome,12248000000.00,12248000000.00,24879000000.00,22899000000.00,14541000000.00,12421000000.00,4106000000.00,4186000000.00,2233000000.00,178000000.00,745000000.00,676000000.00,862000000.00,1406000000.00,1129000000.00,842000000.00,655000000.00,389000000.00,432000000.00,440425000.00,273487000.00,111175000.00,-49639000.00,-341797000.00,-382989000.00,-61788000.00,-29100000.00,-6000000.00
NetNonOperatingInterestIncomeExpense,-1378000000.00,-1378000000.00,-1361000000.00,-1092000000.00,-768000000.00,-977000000.00,-646000000.00,-384000000.00,-409000000.00,-171000000.00,-103000000.00,-52000000.00,-4000000.00,12000000.00,3000000.00,12000000.00,13000000.00,-19000000.00,-48000000.00,-79030000.00,-108024000.00,-119238000.00,-110129000.00,-90100000.00,-39115000.00,-12586000.00,,
"	InterestIncomeNonOperating",989000000.00,989000000.00,448000000.00,555000000.00,832000000.00,440000000.00,202000000.00,100000000.00,50000000.00,39000000.00,38000000.00,40000000.00,61000000.00,51000000.00,37000000.00,83000000.00,90000000.00,59000000.00,44000000.00,28197000.00,21955000.00,23687000.00,29103000.00,40821000.00,45451000.00,14053000.00,,
"	InterestExpenseNonOperating",2367000000.00,2367000000.00,1809000000.00,1647000000.00,1600000000.00,1417000000.00,848000000.00,484000000.00,459000000.00,210000000.00,141000000.00,92000000.00,65000000.00,39000000.00,34000000.00,71000000.00,77000000.00,78000000.00,92000000.00,107227000.00,129979000.00,142925000.00,139232000.00,130921000.00,84566000.00,26639000.00,,
OtherIncomeExpense,-16806000000.00,-16806000000.00,14633000000.00,2371000000.00,203000000.00,-183000000.00,346000000.00,90000000.00,-256000000.00,-118000000.00,-136000000.00,-80000000.00,76000000.00,79000000.00,29000000.00,47000000.00,-8000000.00,7000000.00,44000000.00,-5525000.00,-129745000.00,-137701000.00,-366659000.00,-674780000.00,-221095000.00,-50172000.00,1900000.00,200000.00
"	GainOnSaleOfSecurity",-16266000000.00,-16266000000.00,14652000000.00,,203000000.00,-183000000.00,346000000.00,90000000.00,-256000000.00,-118000000.00,-136000000.00,-80000000.00,76000000.00,79000000.00,,38000000.00,-1000000.00,7000000.00,35000000.00,-9917000.00,-115209000.00,4614000.00,-24541000.00,-142639000.00,,,,
"	EarningsFromEquityInterest",,,,,,,,,,,,,,,,,,,,,-436000.00,-4169000.00,-30327000.00,-304596000.00,-76769000.00,,,
"	SpecialIncomeCharges",,,,,,,,,,,,,-78000000.00,-27000000.00,-73000000.00,33000000.00,-16000000.00,-16000000.00,44000000.00,4465000.00,-9664000.00,-47051000.00,-340218000.00,-522083000.00,-222766000.00,-50172000.00,1900000.00,200000.00
"		RestructuringAndMergernAcquisition",,,,,,,,,,,,,,,,,,,,,140000.00,41573000.00,181585000.00,,8072000.00,50172000.00,,
"		ImpairmentOfCapitalAssets",,,,,,,,,,,,,,,,,,,,,2752000.00,5478000.00,181033000.00,321772000.00,214694000.00,,,
"		WriteOff",,,,,,,,,,,,,,,,,,,,-4465000.00,892000.00,,,200311000.00,,,,
"		OtherSpecialCharges",,,,,,,,,,,,,,,,,16000000.00,16000000.00,,,5880000.00,90650000.00,-22400000.00,,-1671000.00,,,
"	OtherNonOperatingIncomeExpenses",-540000000.00,-540000000.00,-19000000.00,2371000000.00,203000000.00,-183000000.00,346000000.00,90000000.00,-256000000.00,-118000000.00,-136000000.00,-80000000.00,76000000.00,79000000.00,29000000.00,9000000.00,-7000000.00,,9000000.00,-73000.00,-4872000.00,-95264000.00,-1900000.00,-10058000.00,1671000.00,,,
PretaxIncome,-5936000000.00,-5936000000.00,38151000000.00,24178000000.00,13976000000.00,11261000000.00,3806000000.00,3892000000.00,1568000000.00,-111000000.00,506000000.00,544000000.00,934000000.00,1497000000.00,1161000000.00,901000000.00,660000000.00,377000000.00,428000000.00,355870000.00,35718000.00,-145764000.00,-526427000.00,-1106677000.00,-643199000.00,-124546000.00,,
TaxProvision,-3217000000.00,-3217000000.00,4791000000.00,2863000000.00,2374000000.00,1197000000.00,769000000.00,1425000000.00,950000000.00,167000000.00,161000000.00,428000000.00,291000000.00,352000000.00,253000000.00,247000000.00,184000000.00,187000000.00,95000000.00,-232581000.00,,,,,,,,
EarningsFromEquityInterestNetOfTax,-3000000.00,-3000000.00,4000000.00,16000000.00,-14000000.00,9000000.00,-4000000.00,-96000000.00,-22000000.00,37000000.00,-71000000.00,-155000000.00,-12000000.00,7000000.00,-6000000.00,-9000000.00,,,,,-436000.00,-4169000.00,-30327000.00,-304596000.00,-76769000.00,,,
NetIncomeCommonStockholders,-2722000000.00,-2722000000.00,33364000000.00,21331000000.00,11588000000.00,10073000000.00,3033000000.00,2371000000.00,596000000.00,-241000000.00,274000000.00,-39000000.00,631000000.00,1152000000.00,902000000.00,645000000.00,476000000.00,190000000.00,359000000.00,588451000.00,35282000.00,-149132000.00,-567277000.00,-1411273000.00,-719968000.00,-124546000.00,-27600000.00,-5800000.00
"	NetIncome",-2722000000.00,-2722000000.00,33364000000.00,21331000000.00,11588000000.00,10073000000.00,3033000000.00,2371000000.00,596000000.00,-241000000.00,274000000.00,-39000000.00,631000000.00,1152000000.00,902000000.00,645000000.00,476000000.00,190000000.00,333000000.00,588451000.00,35282000.00,-149933000.00,-556754000.00,-1411273000.00,-719968000.00,-124546000.00,-27600000.00,-5800000.00
"		NetIncomeIncludingNoncontrollingInterests",-2722000000.00,-2722000000.00,33364000000.00,21331000000.00,11588000000.00,10073000000.00,3033000000.00,2371000000.00,596000000.00,-241000000.00,274000000.00,-39000000.00,631000000.00,1152000000.00,902000000.00,645000000.00,476000000.00,190000000.00,333000000.00,588451000.00,35282000.00,-149933000.00,-556754000.00,-1411273000.00,-719968000.00,-124546000.00,-27600000.00,-5800000.00
"			NetIncomeContinuousOperations",-2722000000.00,-2722000000.00,33364000000.00,21331000000.00,11588000000.00,10073000000.00,3033000000.00,2371000000.00,596000000.00,-241000000.00,274000000.00,-39000000.00,631000000.00,1152000000.00,902000000.00,645000000.00,476000000.00,190000000.00,333000000.00,588451000.00,35282000.00,-149933000.00,-556754000.00,-1411273000.00,-719968000.00,-124546000.00,-27600000.00,-5800000.00
"			NetIncomeExtraordinary",,,,,,,,,,,,,,,,,0.00,0.00,26000000.00,,,801000.00,-10523000.00,,,,,
"	OtherunderPreferredStockDividend",,,,,,,,,,,,,,,,,0.00,0.00,-26000000.00,0.00,0.00,-801000.00,10523000.00,,,,,
DilutedNIAvailtoComStockholders,-2722000000.00,-2722000000.00,33364000000.00,21331000000.00,11588000000.00,10073000000.00,3033000000.00,2371000000.00,596000000.00,-241000000.00,274000000.00,-39000000.00,631000000.00,1152000000.00,902000000.00,645000000.00,476000000.00,190000000.00,359000000.00,588451000.00,35282000.00,-149132000.00,-567277000.00,-1411273000.00,-719968000.00,-124546000.00,-27600000.00,-5800000.00
BasicEPS,,,3.30,2.13,1.17,1.03,0.32,0.25,0.06,-0.03,0.03,-0.01,0.07,0.13,0.10,0.08,0.06,0.02,0.04,0.07,0.01,-0.02,-0.08,-0.20,-0.11,-0.01,-0.01,0.00
DilutedEPS,,,3.24,2.09,1.15,1.01,0.31,0.25,0.06,-0.03,0.03,-0.01,0.07,0.13,0.10,0.08,0.06,0.02,0.04,0.07,0.00,-0.02,-0.08,-0.20,-0.11,-0.01,-0.01,0.00
BasicAverageShares,,,10120000000.00,10000000000.00,9880000000.00,9740000000.00,9600000000.00,9480000000.00,9340000000.00,9240000000.00,9140000000.00,9060000000.00,9060000000.00,8940000000.00,8660000000.00,8460000000.00,8260000000.00,8320000000.00,8240000000.00,8118520000.00,7909580000.00,7567260000.00,7284220000.00,7017460000.00,6535060000.00,17780640000.00,5196240000.00,3866666667.00
DilutedAverageShares,,,10300000000.00,10200000000.00,10080000000.00,10000000000.00,9860000000.00,9680000000.00,9540000000.00,9240000000.00,9300000000.00,9060000000.00,9220000000.00,9120000000.00,8840000000.00,8640000000.00,8480000000.00,8480000000.00,8520000000.00,8495140000.00,8387040000.00,7567260000.00,7284220000.00,7017460000.00,6535060000.00,17780640000.00,5228571429.00,3866666667.00
TotalOperatingIncomeAsReported,12248000000.00,12248000000.00,24879000000.00,22899000000.00,14541000000.00,12421000000.00,4106000000.00,4186000000.00,2233000000.00,178000000.00,745000000.00,676000000.00,862000000.00,1406000000.00,1129000000.00,842000000.00,655000000.00,389000000.00,432000000.00,440425000.00,270595000.00,64124000.00,-412257000.00,-863880000.00,-605755000.00,-111960000.00,-29100000.00,-6000000.00
TotalExpenses,501735000000.00,501735000000.00,444943000000.00,363165000000.00,265981000000.00,220466000000.00,173760000000.00,131801000000.00,104773000000.00,88810000000.00,73707000000.00,60417000000.00,47215000000.00,32798000000.00,23380000000.00,18324000000.00,14180000000.00,10322000000.00,8058000000.00,6480699000.00,4990212000.00,3821761000.00,3172072000.00,3103780000.00,2022828000.00,671784000.00,176900000.00,21700000.00
NetIncomeFromContinuingAndDiscontinuedOperation,-2722000000.00,-2722000000.00,33364000000.00,21331000000.00,11588000000.00,10073000000.00,3033000000.00,2371000000.00,596000000.00,-241000000.00,274000000.00,-39000000.00,631000000.00,1152000000.00,902000000.00,645000000.00,476000000.00,190000000.00,333000000.00,588451000.00,35282000.00,-149933000.00,-556754000.00,-1411273000.00,-719968000.00,-124546000.00,-27600000.00,-5800000.00
NormalizedIncome,7037600000.00,7037600000.00,20551997169.14,21331000000.00,11588000000.00,10073000000.00,3033000000.00,2371000000.00,596000000.00,-241000000.00,274000000.00,-39000000.00,578678800.86,1091575818.30,902000000.00,617417314.10,476721212.12,185800000.00,305768691.59,591722200.00,110205800.00,-107496000.00,-191995000.00,-746551000.00,-497202000.00,-74374000.00,-28740000.00,-5920000.00
InterestIncome,989000000.00,989000000.00,448000000.00,555000000.00,832000000.00,440000000.00,202000000.00,100000000.00,50000000.00,39000000.00,38000000.00,40000000.00,61000000.00,51000000.00,37000000.00,83000000.00,90000000.00,59000000.00,44000000.00,28197000.00,21955000.00,23687000.00,29103000.00,40821000.00,45451000.00,14053000.00,,
InterestExpense,2367000000.00,2367000000.00,1809000000.00,1647000000.00,1600000000.00,1417000000.00,848000000.00,484000000.00,459000000.00,210000000.00,141000000.00,92000000.00,65000000.00,39000000.00,34000000.00,71000000.00,77000000.00,78000000.00,92000000.00,107227000.00,129979000.00,142925000.00,139232000.00,130921000.00,84566000.00,26639000.00,,
NetInterestIncome,-1378000000.00,-1378000000.00,-1361000000.00,-1092000000.00,-768000000.00,-977000000.00,-646000000.00,-384000000.00,-409000000.00,-171000000.00,-103000000.00,-52000000.00,-4000000.00,12000000.00,3000000.00,12000000.00,13000000.00,-19000000.00,-48000000.00,-79030000.00,-108024000.00,-119238000.00,-110129000.00,-90100000.00,-39115000.00,-12586000.00,,
EBIT,-3569000000.00,-3569000000.00,39960000000.00,25825000000.00,15576000000.00,12678000000.00,4654000000.00,4376000000.00,2027000000.00,99000000.00,647000000.00,636000000.00,999000000.00,1536000000.00,1195000000.00,972000000.00,737000000.00,455000000.00,520000000.00,463097000.00,165697000.00,-2839000.00,-387195000.00,-975756000.00,-558633000.00,-97907000.00,-29100000.00,-6000000.00
EBITDA,38352000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReconciledCostOfRevenue,446343000000.00,446343000000.00,403507000000.00,334564000000.00,241699000000.00,202020000000.00,159803000000.00,121969000000.00,97601000000.00,82793000000.00,69331000000.00,56954000000.00,44773000000.00,31193000000.00,22270000000.00,17587000000.00,13592000000.00,9854000000.00,7647000000.00,6160719000.00,4691372000.00,3548402000.00,2939290000.00,2375532000.00,1508916000.00,476155000.00,114200000.00,12000000.00
ReconciledDepreciation,41921000000.00,41921000000.00,34296000000.00,25251000000.00,21789000000.00,15341000000.00,11478000000.00,8116000000.00,6281000000.00,4746000000.00,3253000000.00,2159000000.00,1083000000.00,568000000.00,378000000.00,287000000.00,246000000.00,205000000.00,121000000.00,75724000.00,78310000.00,87752000.00,265742000.00,406232000.00,251500000.00,9692000.00,4700000.00,300000.00
NetIncomeFromContinuingOperationNetMinorityInterest,-2722000000.00,-2722000000.00,33364000000.00,21331000000.00,11588000000.00,10073000000.00,3033000000.00,2371000000.00,596000000.00,-241000000.00,274000000.00,-39000000.00,631000000.00,1152000000.00,902000000.00,645000000.00,476000000.00,190000000.00,333000000.00,588451000.00,35282000.00,-149933000.00,-556754000.00,-1411273000.00,-719968000.00,-124546000.00,-27600000.00,-5800000.00
TotalUnusualItemsExcludingGoodwill,-16266000000.00,-16266000000.00,14652000000.00,,203000000.00,-183000000.00,346000000.00,90000000.00,-256000000.00,-118000000.00,-136000000.00,-80000000.00,76000000.00,79000000.00,-73000000.00,38000000.00,-1000000.00,7000000.00,35000000.00,-5452000.00,-124873000.00,-42437000.00,-364759000.00,-664722000.00,-222766000.00,-50172000.00,1900000.00,200000.00
TotalUnusualItems,-16266000000.00,-16266000000.00,14652000000.00,,203000000.00,-183000000.00,346000000.00,90000000.00,-256000000.00,-118000000.00,-136000000.00,-80000000.00,76000000.00,79000000.00,-73000000.00,38000000.00,-1000000.00,7000000.00,35000000.00,-5452000.00,-124873000.00,-42437000.00,-364759000.00,-664722000.00,-222766000.00,-50172000.00,1900000.00,200000.00
NormalizedEBITDA,54618000000.00,54618000000.00,59604000000.00,51076000000.00,37365000000.00,28019000000.00,16132000000.00,12492000000.00,8308000000.00,4845000000.00,3900000000.00,2795000000.00,2006000000.00,2025000000.00,1573000000.00,1221000000.00,984000000.00,653000000.00,606000000.00,544273000.00,368880000.00,127350000.00,243306000.00,95198000.00,-84367000.00,-38043000.00,-26300000.00,-5900000.00
TaxRateForCalcs,0.40,0.40,0.13,0.12,0.17,0.11,0.20,0.37,0.40,0.35,0.32,0.35,0.31,0.24,0.22,0.27,0.28,0.40,0.22,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.40,0.40
TaxEffectOfUnusualItems,-6506400000.00,-6506400000.00,1839997169.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23678800.86,18575818.30,0.00,10417314.10,-278787.88,2800000.00,7768691.59,-2180800.00,-49949200.00,0.00,0.00,0.00,0.00,0.00,760000.00,80000.00
